language,mode,games,iterations,exploration,seed,total_runtime_s,total_moves,mcts_decisions,total_simulations,total_nodes,x_wins,o_wins,draws,simulations_per_second,nodes_per_second,avg_decision_time_s
jax-gpu,emparejado_stoix_sinentrenar_profundidad_3_1er,1939,128,0.020000,777,0.917904,6000,6000,2304000,0,1884,31,24,2510065.714867,0.000000,0.000153
jax-gpu,emparejado_stoix_sinentrenar_profundidad_3_2e,1878,128,0.020000,777,1.040291,6800,6800,2611200,0,1582,263,33,2510065.714867,0.000000,0.000153
jax-gpu,emparejado_stoix_sinentrenar_profundidad_4_1er,1921,128,0.020000,777,1.133739,7000,7000,3584000,0,1848,40,33,3161222.266622,0.000000,0.000162
jax-gpu,emparejado_stoix_sinentrenar_profundidad_4_2e,1841,128,0.020000,777,0.939383,5800,5800,2969600,0,1525,271,45,3161222.266622,0.000000,0.000162
jax-gpu,emparejado_stoix_sinentrenar_profundidad_6_1er,1892,128,0.020000,777,0.988455,5800,5800,4454400,0,1823,42,27,4506428.212557,0.000000,0.000170
jax-gpu,emparejado_stoix_sinentrenar_profundidad_6_2e,1861,128,0.020000,777,1.192963,7000,7000,5376000,0,1561,253,47,4506428.212557,0.000000,0.000170
jax-gpu,emparejado_stoix_sinentrenar_profundidad_8_1er,1892,128,0.020000,777,1.228689,5800,5800,5939200,0,1823,42,27,4833770.764160,0.000000,0.000212
jax-gpu,emparejado_stoix_sinentrenar_profundidad_8_2e,1861,128,0.020000,777,1.482900,7000,7000,7168000,0,1561,253,47,4833770.764160,0.000000,0.000212
jax-gpu,emparejado_stoix_sinentrenar_tau_0.005_1er,1886,128,0.005000,777,1.063654,5800,5800,4454400,0,1819,40,27,4187827.948204,0.000000,0.000183
jax-gpu,emparejado_stoix_sinentrenar_tau_0.005_2e,1868,128,0.005000,777,1.283720,7000,7000,5376000,0,1565,254,49,4187827.948204,0.000000,0.000183
jax-gpu,emparejado_stoix_sinentrenar_tau_0.020_1er,1892,128,0.020000,777,1.053669,5800,5800,4454400,0,1823,42,27,4227512.186430,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_tau_0.020_2e,1861,128,0.020000,777,1.271670,7000,7000,5376000,0,1561,253,47,4227512.186430,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_tau_0.100_1er,1893,128,0.100000,777,1.152209,6400,6400,4915200,0,1816,42,35,4265892.109141,0.000000,0.000180
jax-gpu,emparejado_stoix_sinentrenar_tau_0.100_2e,1843,128,0.100000,777,1.152209,6400,6400,4915200,0,1550,244,49,4265892.109141,0.000000,0.000180
jax-gpu,emparejado_stoix_sinentrenar_tau_0.500_1er,1840,128,0.500000,777,1.157817,6800,6800,5222400,0,1738,50,52,4510555.615534,0.000000,0.000170
jax-gpu,emparejado_stoix_sinentrenar_tau_0.500_2e,1822,128,0.500000,777,1.021604,6000,6000,4608000,0,1492,222,108,4510555.615534,0.000000,0.000170
jax-gpu,emparejado_stoix_sinentrenar_tau_1.000_1er,1788,128,1.000000,777,1.209836,7000,7000,5376000,0,1585,94,109,4443578.625233,0.000000,0.000173
jax-gpu,emparejado_stoix_sinentrenar_tau_1.000_2e,1743,128,1.000000,777,1.002435,5800,5800,4454400,0,1304,271,168,4443578.625233,0.000000,0.000173
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_1_1er,2085,128,0.020000,777,1.102274,6000,6000,4608000,0,1965,107,13,4180450.270531,0.000000,0.000184
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_1_2e,1979,128,0.020000,777,1.249243,6800,6800,5222400,0,1376,493,110,4180450.270531,0.000000,0.000184
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_2_1er,1974,128,0.020000,777,1.346348,7400,7400,5683200,0,1909,47,18,4221195.780802,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_2_2e,1929,128,0.020000,777,0.982470,5400,5400,4147200,0,1571,301,57,4221195.780802,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_4_1er,1897,128,0.020000,777,1.078529,6000,6000,4608000,0,1795,66,36,4272485.905569,0.000000,0.000180
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_4_2e,1807,128,0.020000,777,1.222333,6800,6800,5222400,0,1508,255,44,4272485.905569,0.000000,0.000180
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_8_1er,1892,128,0.020000,777,1.057810,5800,5800,4454400,0,1823,42,27,4210964.032653,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_8_2e,1861,128,0.020000,777,1.276667,7000,7000,5376000,0,1561,253,47,4210964.032653,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_99_1er,1892,128,0.020000,777,1.055246,5800,5800,4454400,0,1823,42,27,4221194.194774,0.000000,0.000182
jax-gpu,emparejado_stoix_sinentrenar_remuestreo_99_2e,1861,128,0.020000,777,1.273573,7000,7000,5376000,0,1561,253,47,4221194.194774,0.000000,0.000182
